Draw,Date,Winning Number 1,2,3,4,5,6,Additional Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize
4060,2025-03-13,16,26,34,36,42,49,41,42,1,5,1,5,0,1,1,2,2,0.0,0.0,3.0,91198.0,94.0,2001.0,204.0,503.0,4804.0,50.0,6235.0,25.0,89640.0,10.0
4059,2025-03-10,5,7,32,38,42,47,27,38,2,4,3,3,2,0,0,2,2,1.0,1337645.0,3.0,93870.0,95.0,2038.0,324.0,326.0,5139.0,50.0,8221.0,25.0,98410.0,10.0
4058,2025-03-06,19,33,35,38,46,49,39,49,1,5,4,2,0,1,0,3,2,2.0,6743664.0,19.0,79343.0,536.0,1934.0,1490.0,380.0,29758.0,50.0,41791.0,25.0,543400.0,10.0
4057,2025-03-03,4,16,24,25,43,49,46,,3,3,3,3,1,1,2,0,2,0.0,0.0,5.0,132911.0,210.0,2176.0,587.0,425.0,12932.0,50.0,16638.0,25.0,244769.0,10.0
4056,2025-02-27,2,10,13,15,37,40,28,37,4,2,3,3,2,2,0,2,0,0.0,0.0,2.0,189079.0,114.0,2281.0,437.0,325.0,7644.0,50.0,12397.0,25.0,145202.0,10.0
4055,2025-02-24,24,37,38,42,48,49,31,"37,42",1,5,2,4,0,0,1,2,3,0.0,0.0,1.0,289228.0,94.0,2116.0,207.0,524.0,5185.0,50.0,6449.0,25.0,95073.0,10.0
4054,2025-02-20,3,25,31,37,39,42,21,"39,42",1,5,5,1,1,0,1,3,1,1.0,3249509.0,1.0,380878.0,142.0,1845.0,330.0,433.0,6592.0,50.0,9322.0,25.0,128681.0,10.0
4053,2025-02-17,1,16,23,39,41,42,9,,3,3,4,2,1,1,1,1,2,0.0,0.0,1.0,303230.0,87.0,2397.0,266.0,428.0,4936.0,50.0,8692.0,25.0,99898.0,10.0
4052,2025-02-13,5,8,13,28,30,49,17,,3,3,3,3,2,1,2,0,1,1.0,1455213.0,6.0,51061.0,160.0,1317.0,462.0,249.0,9012.0,50.0,11815.0,25.0,153434.0,10.0
4051,2025-02-10,1,3,7,18,34,39,46,18,4,2,4,2,3,1,0,2,0,1.0,1427176.0,2.0,150229.0,135.0,1531.0,225.0,501.0,7427.0,50.0,6535.0,25.0,136220.0,10.0
4050,2025-02-07,16,18,22,23,28,35,32,,4,2,2,4,0,2,3,1,0,3.0,4209825.0,36.0,73857.0,1172.0,1560.0,3306.0,302.0,60358.0,50.0,83889.0,25.0,1079969.0,10.0
4049,2025-02-03,1,12,29,31,41,48,25,,2,4,4,2,1,1,1,1,2,1.0,1919191.0,3.0,238686.0,170.0,1634.0,497.0,305.0,8910.0,50.0,13852.0,25.0,157847.0,10.0
4048,2025-01-30,2,9,13,24,26,43,49,"26,43",4,2,3,3,2,1,2,0,1,1.0,1482074.0,0.0,0.0,126.0,1703.0,303.0,387.0,6926.0,50.0,8096.0,25.0,130392.0,10.0
4047,2025-01-27,7,16,22,26,33,43,44,43,3,3,3,3,1,1,2,1,1,1.0,1401283.0,2.0,147504.0,129.0,1573.0,297.0,373.0,6137.0,50.0,7280.0,25.0,111267.0,10.0
4046,2025-01-24,9,10,18,35,43,49,42,49,3,3,4,2,2,1,0,1,2,2.0,6651088.0,29.0,72042.0,783.0,1835.0,2119.0,370.0,44856.0,50.0,56090.0,25.0,818208.0,10.0
4045,2025-01-20,3,5,6,16,32,49,4,6,4,2,3,3,3,1,0,1,1,0.0,0.0,3.0,142491.0,197.0,1492.0,429.0,374.0,9710.0,50.0,16771.0,25.0,177859.0,10.0
4044,2025-01-16,6,13,18,27,35,46,48,"13,35",3,3,3,3,1,2,1,1,1,0.0,0.0,3.0,94594.0,98.0,1991.0,208.0,512.0,5353.0,50.0,6515.0,25.0,105598.0,10.0
4043,2025-01-13,3,7,11,13,34,35,17,"13,34",4,2,5,1,2,2,0,2,0,2.0,3044352.0,7.0,91930.0,283.0,1564.0,918.0,263.0,15475.0,50.0,23902.0,25.0,274774.0,10.0
4042,2025-01-09,13,32,34,36,38,40,37,13,1,5,1,5,0,1,0,5,0,0.0,0.0,5.0,75163.0,204.0,1267.0,475.0,297.0,7173.0,50.0,10363.0,25.0,123580.0,10.0
4041,2025-01-06,6,10,13,27,41,49,4,,3,3,4,2,2,1,1,0,2,0.0,0.0,1.0,262514.0,102.0,1770.0,313.0,315.0,5442.0,50.0,9145.0,25.0,103053.0,10.0
4040,2025-01-03,9,11,24,29,39,46,31,"29,46",3,3,4,2,1,1,2,1,1,3.0,3879211.0,13.0,136132.0,693.0,1756.0,1957.0,340.0,39460.0,50.0,50998.0,25.0,708871.0,10.0
4039,2024-12-30,3,10,13,29,32,46,18,,3,3,3,3,2,1,1,1,1,0.0,0.0,2.0,203722.0,140.0,2001.0,366.0,418.0,7776.0,50.0,11163.0,25.0,150353.0,10.0
4038,2024-12-26,8,21,30,35,44,49,39,44,2,4,3,3,1,0,2,1,2,0.0,0.0,2.0,136439.0,97.0,1935.0,226.0,453.0,4502.0,50.0,6243.0,25.0,91633.0,10.0
4037,2024-12-23,34,40,42,44,45,46,19,,0,6,1,5,0,0,0,2,4,2.0,3017983.0,3.0,208513.0,304.0,1415.0,508.0,462.0,13213.0,50.0,14597.0,25.0,210002.0,10.0
4036,2024-12-19,3,9,10,20,23,32,42,,5,1,3,3,3,1,1,1,0,0.0,0.0,4.0,91910.0,264.0,958.0,426.0,324.0,12895.0,50.0,10363.0,25.0,192030.0,10.0
4035,2024-12-16,13,19,22,26,40,49,45,19,3,3,3,3,0,2,2,1,1,0.0,0.0,3.0,92518.0,83.0,2300.0,220.0,474.0,5260.0,50.0,6081.0,25.0,92909.0,10.0
4034,2024-12-12,17,18,19,31,32,33,8,,3,3,4,2,0,3,0,3,0,5.0,1203270.0,8.0,76564.0,271.0,1554.0,675.0,341.0,12641.0,50.0,19533.0,25.0,230724.0,10.0
4033,2024-12-09,1,4,8,10,16,46,23,8,5,1,1,5,4,1,0,0,1,0.0,0.0,8.0,48292.0,243.0,1094.0,550.0,264.0,12629.0,50.0,14923.0,25.0,192073.0,10.0
4032,2024-12-05,8,14,15,20,31,49,13,49,4,2,3,3,1,3,0,1,1,0.0,0.0,1.0,267756.0,80.0,2302.0,234.0,430.0,5389.0,50.0,8157.0,25.0,103638.0,10.0
4031,2024-12-02,10,11,12,21,41,49,44,,4,2,4,2,1,2,1,0,2,1.0,5917621.0,6.0,105859.0,291.0,1501.0,627.0,380.0,16236.0,50.0,17126.0,25.0,283170.0,10.0
4030,2024-11-28,1,2,4,15,18,24,35,,6,0,2,4,3,2,1,0,0,0.0,0.0,1.0,350328.0,261.0,923.0,320.0,411.0,10837.0,50.0,9475.0,25.0,172609.0,10.0
4029,2024-11-25,26,28,31,38,41,42,23,28,0,6,2,4,0,0,2,2,2,0.0,0.0,2.0,130168.0,82.0,2183.0,221.0,442.0,4628.0,50.0,6799.0,25.0,86865.0,10.0
4028,2024-11-21,4,7,11,14,21,28,36,14,5,1,3,3,2,2,2,0,0,13.0,91571.0,6.0,41770.0,426.0,405.0,325.0,290.0,12307.0,50.0,7502.0,25.0,153706.0,10.0
4027,2024-11-18,1,2,14,36,44,46,20,36,3,3,1,5,2,1,0,1,2,2.0,616395.0,3.0,86512.0,93.0,1919.0,239.0,408.0,4313.0,50.0,5872.0,25.0,82317.0,10.0
4026,2024-11-14,12,16,29,36,39,40,37,39,2,4,2,4,0,2,1,3,0,4.0,3272445.0,13.0,114990.0,574.0,1791.0,1204.0,466.0,29410.0,50.0,38930.0,25.0,548392.0,10.0
4025,2024-11-11,13,28,39,43,46,48,30,,1,5,3,3,0,1,1,1,3,0.0,0.0,3.0,215010.0,221.0,2007.0,579.0,418.0,11822.0,50.0,16383.0,25.0,224035.0,10.0
4024,2024-11-07,4,12,17,18,23,34,28,18,5,1,2,4,1,3,1,1,0,0.0,0.0,2.0,177222.0,192.0,1270.0,484.0,275.0,8326.0,50.0,12463.0,25.0,150033.0,10.0
4023,2024-11-04,14,18,25,28,29,44,36,18,2,4,2,4,0,2,3,0,1,0.0,0.0,4.0,65352.0,118.0,1524.0,230.0,427.0,5321.0,50.0,6530.0,25.0,98857.0,10.0
4022,2024-10-31,2,6,10,17,18,49,35,10,5,1,2,4,3,2,0,0,1,1.0,1210119.0,1.0,254762.0,139.0,1261.0,221.0,433.0,6624.0,50.0,6536.0,25.0,119267.0,10.0
4021,2024-10-28,10,16,33,37,45,47,6,"37,47",2,4,4,2,1,1,0,2,2,1.0,2917076.0,2.0,184389.0,118.0,2149.0,340.0,407.0,6485.0,50.0,9636.0,25.0,121925.0,10.0
